ncalls,tottime,percall (ms),cumtime (s),percall (ms),filename:lineno(function)
1,6.10E-06,6.10E-06,6.10E-06,6.10E-06,~:0(<method 'quit' of 'PySide6.QtCore.QThread' objects>)
1,2.30E-06,2.30E-06,6.10E-06,6.10E-06,contextlib.py:145(__exit__)
1,5.90E-06,5.90E-06,5.90E-06,5.90E-06,~:0(<built-in method shiboken6.Shiboken.replaceModuleDict>)
1,5.70E-06,5.70E-06,5.90E-06,5.90E-06,__init__.py:1(<module>)
2,4.30E-06,2.15E-06,5.90E-06,2.95E-06,roi_selector.py:78(get_roi)
2,5.80E-06,2.90E-06,5.80E-06,2.90E-06,_weakrefset.py:37(__init__)
9,5.80E-06,6.44E-07,5.80E-06,6.44E-07,~:0(<method 'title' of 'str' objects>)
1,5.70E-06,5.70E-06,5.70E-06,5.70E-06,_internal.py:261(_ctypes)
1,5.70E-06,5.70E-06,5.70E-06,5.70E-06,preview_scheduler.py:95(SnapshotWorker)
1,5.70E-06,5.70E-06,5.70E-06,5.70E-06,database.py:15(DatabaseManager)
1,5.60E-06,5.60E-06,5.60E-06,5.60E-06,~:0(<method 'setPen' of 'PySide6.QtCharts.QXYSeries' objects>)
1,5.40E-06,5.40E-06,5.60E-06,5.60E-06,__init__.py:1(<module>)
1,5.50E-06,5.50E-06,5.50E-06,5.50E-06,traceback.py:276(FrameSummary)
1,5.50E-06,5.50E-06,5.50E-06,5.50E-06,db_worker.py:24(DBSignals)
1,5.50E-06,5.50E-06,5.50E-06,5.50E-06,ping_scheduler.py:9(PingSignal)
1,5.30E-06,5.30E-06,5.50E-06,5.50E-06,__init__.py:1(<module>)
23,5.40E-06,2.35E-07,5.40E-06,2.35E-07,overrides.py:173(array_function_from_dispatcher)
1,5.40E-06,5.40E-06,5.40E-06,5.40E-06,_array_api_info.py:29(__array_namespace_info__)
14,5.40E-06,3.86E-07,5.40E-06,3.86E-07,~:0(<built-in method _thread.get_native_id>)
3,5.30E-06,1.77E-06,5.30E-06,1.77E-06,dbapi2.py:101(__getattr__)
3,5.30E-06,1.77E-06,5.30E-06,1.77E-06,~:0(<method 'setBackgroundRatio' of 'cv2.BackgroundSubtractorMOG2' objects>)
3,5.30E-06,1.77E-06,5.30E-06,1.77E-06,~:0(<method 'value' of 'PySide6.QtWidgets.QSpinBox' objects>)
1,5.30E-06,5.30E-06,5.30E-06,5.30E-06,~:0(<method 'setBackgroundBrush' of 'PySide6.QtCharts.QChart' objects>)
1,5.30E-06,5.30E-06,5.30E-06,5.30E-06,~:0(<built-in method psutil_windows.cpu_times>)
1,5.20E-06,5.20E-06,5.20E-06,5.20E-06,decoder.py:292(__init__)
1,5.20E-06,5.20E-06,5.20E-06,5.20E-06,roi_window.py:20(ROISelectorDialog)
1,5.10E-06,5.10E-06,5.10E-06,5.10E-06,random.py:880(SystemRandom)
4,5.10E-06,1.28E-06,5.10E-06,1.28E-06,__init__.py:158(__getattr__)
1,5.10E-06,5.10E-06,5.10E-06,5.10E-06,_machar.py:17(MachAr)
1,4.50E-06,4.50E-06,5.10E-06,5.10E-06,__init__.py:1337(Manager)
10,5.00E-06,5.00E-07,5.00E-06,5.00E-07,typing.py:544(__getattr__)
9,5.00E-06,5.56E-07,5.00E-06,5.56E-07,typing.py:2754(final)
1,5.00E-06,5.00E-06,5.00E-06,5.00E-06,reduction.py:33(ForkingPickler)
17,4.90E-06,2.88E-07,4.90E-06,2.88E-07,<frozen importlib._bootstrap_external>:1307(__init__)
1,4.90E-06,4.90E-06,4.90E-06,4.90E-06,csv.py:199(DictWriter)
12,4.90E-06,4.08E-07,4.90E-06,4.08E-07,~:0(<method 'rsplit' of 'str' objects>)
2,4.90E-06,2.45E-06,4.90E-06,2.45E-06,~:0(<method 'reset' of '_contextvars.ContextVar' objects>)
1,4.90E-06,4.90E-06,4.90E-06,4.90E-06,~:0(<method 'resize' of 'PySide6.QtWidgets.QWidget' objects>)
6,2.70E-06,4.50E-07,4.90E-06,8.17E-07,typing.py:1230(<genexpr>)
16,4.80E-06,3.00E-07,4.80E-06,3.00E-07,<frozen codecs>:263(__init__)
2,4.80E-06,2.40E-06,4.80E-06,2.40E-06,~:0(<method 'setLabelsColor' of 'PySide6.QtCharts.QAbstractAxis' objects>)
1,4.10E-06,4.10E-06,4.80E-06,4.80E-06,threading.py:1047(_delete)
1,4.60E-06,4.60E-06,4.60E-06,4.60E-06,_npyio_impl.py:106(NpzFile)
2,4.60E-06,2.30E-06,4.60E-06,2.30E-06,~:0(<function CameraList.closeEvent at 0x000001E6255F2340>)
1,4.60E-06,4.60E-06,4.60E-06,4.60E-06,~:0(<method 'setMaximumHeight' of 'PySide6.QtWidgets.QWidget' objects>)
1,4.50E-06,4.50E-06,4.50E-06,4.50E-06,__init__.py:99(<genexpr>)
1,4.50E-06,4.50E-06,4.50E-06,4.50E-06,argparse.py:1737(ArgumentParser)
1,3.90E-06,3.90E-06,4.50E-06,4.50E-06,_index_tricks_impl.py:269(__init__)
3,3.20E-06,1.07E-06,4.50E-06,1.50E-06,feature.py:53(<genexpr>)
1,4.40E-06,4.40E-06,4.40E-06,4.40E-06,string.py:57(Template)
31,4.40E-06,1.42E-07,4.40E-06,1.42E-07,signal.py:16(<lambda>)
1,4.40E-06,4.40E-06,4.40E-06,4.40E-06,getlimits.py:639(iinfo)
1,4.30E-06,4.30E-06,4.30E-06,4.30E-06,_datasource.py:195(DataSource)
2,3.20E-06,1.60E-06,4.30E-06,2.15E-06,__init__.py:1690(removeHandler)
1,4.20E-06,4.20E-06,4.20E-06,4.20E-06,_exceptions.py:116(_ArrayMemoryError)
4,4.20E-06,1.05E-06,4.20E-06,1.05E-06,~:0(<built-in method maketrans>)
1,3.30E-06,3.30E-06,4.20E-06,4.20E-06,~:0(<method 'setFormAlignment' of 'PySide6.QtWidgets.QFormLayout' objects>)
1,2.80E-06,2.80E-06,4.20E-06,4.20E-06,weakref.py:289(update)
1,4.10E-06,4.10E-06,4.10E-06,4.10E-06,pickle.py:194(_Framer)
2,4.10E-06,2.05E-06,4.10E-06,2.05E-06,~:0(<function CameraList.showEvent at 0x000001E6255F2200>)
1,3.70E-06,3.70E-06,4.10E-06,4.10E-06,contextlib.py:108(__init__)
1,4.00E-06,4.00E-06,4.00E-06,4.00E-06,__init__.py:865(ZipExtFile)
2,4.00E-06,2.00E-06,4.00E-06,2.00E-06,roi_selector.py:52(set_callback)
12,4.00E-06,3.33E-07,4.00E-06,3.33E-07,~:0(<method 'removeprefix' of 'str' objects>)
1,4.00E-06,4.00E-06,4.00E-06,4.00E-06,~:0(<method 'setMargins' of 'PySide6.QtCharts.QChart' objects>)
1,3.00E-06,3.00E-06,4.00E-06,4.00E-06,version.py:1(<module>)
1,2.70E-06,2.70E-06,4.00E-06,4.00E-06,__init__.py:252(_EndRecData64)
3,2.40E-06,8.00E-07,4.00E-06,1.33E-06,__init__.py:981(setLevel)
26,3.90E-06,1.50E-07,3.90E-06,1.50E-07,__init__.py:811(tell)
1,3.90E-06,3.90E-06,3.90E-06,3.90E-06,layout.py:59(SignatureLayout)
13,3.90E-06,3.00E-07,3.90E-06,3.00E-07,~:0(<method 'seekable' of '_io.BytesIO' objects>)
2,3.90E-06,1.95E-06,3.90E-06,1.95E-06,~:0(<built-in method numpy._core._multiarray_umath._make_extobj>)
3,3.10E-06,1.03E-06,3.90E-06,1.30E-06,typing.py:1599(__mro_entries__)
2,2.70E-06,1.35E-06,3.90E-06,1.95E-06,__init__.py:882(_removeHandlerRef)
5,3.80E-06,7.60E-07,3.80E-06,7.60E-07,_pytesttester.py:75(__init__)
1,3.80E-06,3.80E-06,3.80E-06,3.80E-06,roi_selector.py:5(ROISelector)
6,3.70E-06,6.17E-07,3.70E-06,6.17E-07,enum.py:1733(_simple_enum)
1,3.70E-06,3.70E-06,3.70E-06,3.70E-06,mapping.py:153(Reloader)
7,3.70E-06,5.29E-07,3.70E-06,5.29E-07,getlimits.py:160(_register_type)
1,3.70E-06,3.70E-06,3.70E-06,3.70E-06,_iotools.py:228(NameValidator)
1,3.70E-06,3.70E-06,3.70E-06,3.70E-06,~:0(<method 'frameGeometry' of 'PySide6.QtWidgets.QWidget' objects>)
2,3.70E-06,1.85E-06,3.70E-06,1.85E-06,~:0(<method 'setGridLineColor' of 'PySide6.QtCharts.QAbstractAxis' objects>)
4,1.60E-06,4.00E-07,3.70E-06,9.25E-07,mixins.py:53(_unary_method)
16,3.60E-06,2.25E-07,3.60E-06,2.25E-07,typing.py:3004(<genexpr>)
1,3.60E-06,3.60E-06,3.60E-06,3.60E-06,_abc.py:55(ParserBase)
3,3.60E-06,1.20E-06,3.60E-06,1.20E-06,signal.py:51(decorator)
2,3.60E-06,1.80E-06,3.60E-06,1.80E-06,__init__.py:384(_FuncPtr)
2,3.50E-06,1.75E-06,3.50E-06,1.75E-06,<frozen _collections_abc>:108(_check_methods)
1,3.50E-06,3.50E-06,3.50E-06,3.50E-06,threading.py:269(Condition)
1,3.50E-06,3.50E-06,3.50E-06,3.50E-06,_arrayterator_impl.py:16(Arrayterator)
2,3.50E-06,1.75E-06,3.50E-06,1.75E-06,~:0(<function CameraList.hideEvent at 0x000001E6255F22A0>)
2,2.50E-06,1.25E-06,3.50E-06,1.75E-06,copyreg.py:12(pickle)
1,3.40E-06,3.40E-06,3.40E-06,3.40E-06,platform.py:865(_Processor)
10,3.40E-06,3.40E-07,3.40E-06,3.40E-07,__future__.py:83(__init__)
1,3.40E-06,3.40E-06,3.40E-06,3.40E-06,context.py:220(Process)
1,3.40E-06,3.40E-06,3.40E-06,3.40E-06,arrayprint.py:1432(StructuredVoidFormat)
1,3.40E-06,3.40E-06,3.40E-06,3.40E-06,__init__.py:322(CDLL)
12,3.40E-06,2.83E-07,3.40E-06,2.83E-07,_linalg.py:2571(_norm_dispatcher)
12,3.40E-06,2.83E-07,3.40E-06,2.83E-07,~:0(<method 'end' of 're.Match' objects>)
2,3.40E-06,1.70E-06,3.40E-06,1.70E-06,~:0(<method 'clear' of 'list' objects>)
1,2.10E-06,2.10E-06,3.30E-06,3.30E-06,__init__.py:305(escape)
13,3.20E-06,2.46E-07,3.20E-06,2.46E-07,signature_bootstrap.py:187(create_module)
1,3.20E-06,3.20E-06,3.20E-06,3.20E-06,__init__.py:777(Filter)
4,3.20E-06,8.00E-07,3.20E-06,8.00E-07,__init__.py:451(__init__)
1,3.20E-06,3.20E-06,3.20E-06,3.20E-06,_utils.py:1(<module>)
1,3.20E-06,3.20E-06,3.20E-06,3.20E-06,~:0(<built-in method math.exp>)
11,3.20E-06,2.91E-07,3.20E-06,2.91E-07,~:0(<method 'isalnum' of 'str' objects>)
1,3.20E-06,3.20E-06,3.20E-06,3.20E-06,~:0(<built-in method numpy._core._multiarray_umath._reload_guard>)
1,3.20E-06,3.20E-06,3.20E-06,3.20E-06,~:0(<method 'setValidator' of 'PySide6.QtWidgets.QLineEdit' objects>)
1,3.20E-06,3.20E-06,3.20E-06,3.20E-06,~:0(<method 'setSpacing' of 'PySide6.QtWidgets.QFormLayout' objects>)
2,3.20E-06,1.60E-06,3.20E-06,1.60E-06,~:0(<method 'setMinorGridLineColor' of 'PySide6.QtCharts.QAbstractAxis' objects>)
1,2.30E-06,2.30E-06,3.20E-06,3.20E-06,copy.py:62(copy)
16,3.10E-06,1.94E-07,3.10E-06,1.94E-07,<frozen importlib._bootstrap>:1014(is_package)
8,3.10E-06,3.88E-07,3.10E-06,3.88E-07,typing.py:3112(_namedtuple_mro_entries)
2,3.10E-06,1.55E-06,3.10E-06,1.55E-06,arrayprint.py:537(_recursive_guard)
18,3.10E-06,1.72E-07,3.10E-06,1.72E-07,~:0(<method 'get' of '_contextvars.ContextVar' objects>)
2,3.10E-06,1.55E-06,3.10E-06,1.55E-06,~:0(<function ROISelectorDialog.resizeEvent at 0x000001E6254C54E0>)
2,3.10E-06,1.55E-06,3.10E-06,1.55E-06,~:0(<built-in method _sqlite3.register_adapter>)
1,1.50E-06,1.50E-06,3.10E-06,3.10E-06,__init__.py:1342(__init__)
1,3.00E-06,3.00E-06,3.00E-06,3.00E-06,warnings.py:518(deprecated)
3,3.00E-06,1.00E-06,3.00E-06,1.00E-06,__init__.py:1301(__init__)
5,3.00E-06,6.00E-07,3.00E-06,6.00E-07,__init__.py:1307(append)
1,3.00E-06,3.00E-06,3.00E-06,3.00E-06,__init__.py:63(UInt64)
15,3.00E-06,2.00E-07,3.00E-06,2.00E-07,~:0(<built-in method builtins.callable>)
1,2.90E-06,2.90E-06,2.90E-06,2.90E-06,glob.py:8(Translator)
