ncalls,tottime,percall (ms),cumtime (s),percall (ms),filename:lineno(function)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,~:0(<built-in method _io.text_encoding>)
2,7.00E-07,3.50E-07,7.00E-07,3.50E-07,~:0(<method 'isdisjoint' of 'set' objects>)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,~:0(<built-in method numpy._core._multiarray_umath.set_typeDict>)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,functools.py:1017(__set_name__)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,_abc.py:48(UnsupportedOperation)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,shutil.py:67(Error)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,shutil.py:70(SameFileError)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,threading.py:837(BrokenBarrierError)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,__init__.py:128(ModuleDict)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,_local.py:472(PureWindowsPath)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,threading.py:1348(_MainThread)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,cp437.py:17(IncrementalEncoder)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,mapping.py:104(Missing)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,mapping.py:99(Virtual)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,mapping.py:140(ResultVariable)
4,6.00E-07,1.50E-07,6.00E-07,1.50E-07,__init__.py:257(_register_at_fork_reinit_lock)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,argparse.py:972(_StoreTrueAction)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,argparse.py:720(ArgumentError)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,argparse.py:1156(_ChoicesPseudoAction)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,context.py:233(__init__)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,pickle.py:97(_Stop)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,reduction.py:211(_C)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,context.py:20(TimeoutError)
3,6.00E-07,2.00E-07,6.00E-07,2.00E-07,signal.py:50(_wraps)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,exceptions.py:59(ModuleDeprecationWarning)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,dtypes.py:1(<module>)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,_exceptions.py:98(_UFuncOutputCastingError)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,__init__.py:166(c_short)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,_nbit_base.py:61(_256Bit)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,cp1252.py:17(IncrementalEncoder)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,__init__.py:83(Point2f)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,__init__.py:174(Prim)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,subprocess.py:127(SubprocessError)
1,6.00E-07,6.00E-07,6.00E-07,6.00E-07,__init__.py:1(<module>)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:39(BadZipFile)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:43(LargeZipFile)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,shutil.py:73(SpecialFileError)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,shutil.py:77(ExecError)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,shutil.py:80(ReadError)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,shutil.py:83(RegistryError)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,threading.py:1145(daemon)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,cp437.py:21(IncrementalDecoder)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,argparse.py:657(ArgumentDefaultsHelpFormatter)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,argparse.py:1264(_ExtendAction)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,arrayprint.py:1401(TimedeltaFormat)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:170(c_ushort)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:199(c_double)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:217(c_ulonglong)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:224(c_ubyte)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,__init__.py:231(c_byte)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,_endian.py:34(_swapped_struct_meta)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,_internal.py:256(c_void_p)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,_iotools.py:422(ConverterError)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,_iotools.py:430(ConverterLockError)
2,5.00E-07,2.50E-07,5.00E-07,2.50E-07,_index_tricks_impl.py:791(__init__)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,linalg.py:1(<module>)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,cp1252.py:21(IncrementalDecoder)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,_common.py:628(deprecated_method)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,database.py:22(__init__)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,~:0(<built-in method atexit.register>)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,~:0(<built-in method sys.getfilesystemencoding>)
1,5.00E-07,5.00E-07,5.00E-07,5.00E-07,~:0(<method 'setTickCount' of 'PySide6.QtCharts.QValueAxis' objects>)
1,4.00E-07,4.00E-07,5.00E-07,5.00E-07,copyreg.py:22(constructor)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,warnings.py:212(_processoptions)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:136(SubModule)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,cp437.py:28(StreamReader)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,cp437.py:25(StreamWriter)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,mapping.py:112(Invalid)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,argparse.py:740(ArgumentTypeError)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,context.py:14(ProcessError)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,pickle.py:77(PicklingError)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,pickle.py:84(UnpicklingError)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,exceptions.py:76(VisibleDeprecationWarning)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,exceptions.py:87(RankWarning)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,exceptions.py:200(DTypePromotionError)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:174(c_long)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:178(c_ulong)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:195(c_float)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:203(c_longdouble)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:247(c_void_p)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,_endian.py:35(_swapped_union_meta)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,_iotools.py:438(ConversionWarning)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,_nbit_base.py:67(_128Bit)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,_nbit_base.py:72(_96Bit)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,_nbit_base.py:77(_80Bit)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,_nbit_base.py:82(_64Bit)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,cp1252.py:28(StreamReader)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:51(Bool)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:55(Int)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:67(Double)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:71(Float)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:87(Point3f)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:91(Size)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:95(Rect)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:122(Int64)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:126(UInt64)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:130(Double)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:134(Float)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:138(String)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:146(Point2f)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:150(Point3f)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:154(Size)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:166(Mat)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,__init__.py:178(Any)
1,4.00E-07,4.00E-07,4.00E-07,4.00E-07,~:0(<built-in method numpy._core._multiarray_umath._set_madvise_hugepage>)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,typing.py:3324(<lambda>)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,mapping.py:121(Instance)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,mapping.py:160(__init__)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,mapping.py:146(ArrayLikeVariable)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,mapping.py:117(Default)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,mapping.py:125(KeywordOnly)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,context.py:23(AuthenticationError)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,context.py:17(BufferTooShort)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,exceptions.py:97(TooHardError)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:236(c_char)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,_nbit_base.py:87(_32Bit)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,_nbit_base.py:92(_16Bit)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,_nbit_base.py:97(_8Bit)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:75(String)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:79(Point)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:99(Prim)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:103(Any)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:114(Bool)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:118(Int)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:142(Point)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:158(Rect)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,__init__.py:170(GMat)
1,3.00E-07,3.00E-07,3.00E-07,3.00E-07,~:0(<built-in method _thread._get_main_thread_ident>)
1,2.00E-07,2.00E-07,2.00E-07,2.00E-07,__init__.py:1(<module>)
1,2.00E-07,2.00E-07,2.00E-07,2.00E-07,__init__.py:1(<module>)
1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,<frozen codecs>:217(setstate)
