timestamp,time,coverage
1746568082.366,04:48:02,3
1746568087.625149,04:48:07,3
1746568092.382628,04:48:12,2
1746568097.383876,04:48:17,1
1746568102.39214,04:48:22,12
1746568107.409123,04:48:27,25
1746568112.396211,04:48:32,19
1746568117.658272,04:48:37,36
1746568123.011759,04:48:43,9
1746568130.235497,04:48:50,15
1746568132.780894,04:48:52,5
1746568133.728809,04:48:53,35
1746568137.552066,04:48:57,17
1746568138.251093,04:48:58,5
1746568142.43194,04:49:02,5
1746568143.192143,04:49:03,23
1746568147.932037,04:49:07,8
1746568148.58921,04:49:08,4
1746568152.426207,04:49:12,6
1746568153.188226,04:49:13,1
1746568157.603366,04:49:17,3
1746568158.319746,04:49:18,0
1746568162.458561,04:49:22,2
1746568163.230571,04:49:23,11
1746568167.779054,04:49:27,5
1746568168.918545,04:49:28,5
1746568172.466131,04:49:32,5
1746568173.29878,04:49:33,1
1746568177.425972,04:49:37,14
1746568178.255999,04:49:38,3
1746568182.750671,04:49:42,3
1746568183.38131,04:49:43,1
1746568211.13034,04:50:11,5
1746568215.767397,04:50:15,4
1746568220.853434,04:50:20,2
1746568226.036542,04:50:26,4
1746568230.752102,04:50:30,3
1746568235.764165,04:50:35,36
1746568240.787957,04:50:40,4
1746568245.780061,04:50:45,16
1746568250.755753,04:50:50,8
1746568255.754969,04:50:55,16
1746568260.774892,04:51:00,20
1746568265.751413,04:51:05,19
1746568270.759809,04:51:10,3
1746568275.757589,04:51:15,26
1746568280.751987,04:51:20,4
1746568285.749991,04:51:25,1
1746568290.763715,04:51:30,15
1746568295.778874,04:51:35,2
1746568300.75166,04:51:40,17
1746568305.75205,04:51:45,32
1746568310.75965,04:51:50,12
1746568315.770835,04:51:55,12
1746568320.77001,04:52:00,8
1746568325.749887,04:52:05,23
1746568330.752778,04:52:10,19
1746568335.74852,04:52:15,16
1746568341.606693,04:52:21,1
1746568345.749436,04:52:25,3
1746568350.760686,04:52:30,14
1746568355.772924,04:52:35,1
1746568360.762796,04:52:40,15
1746568365.769333,04:52:45,1
1746568371.999368,04:52:51,2
1746568375.763153,04:52:55,1
1746568380.760144,04:53:00,19
1746568385.762112,04:53:05,1
1746568390.79188,04:53:10,0
1746568395.790653,04:53:15,2
1746568402.302073,04:53:22,21
1746568405.761821,04:53:25,4
1746568410.770157,04:53:30,8
1746568415.759429,04:53:35,12
1746568420.786679,04:53:40,12
1746568425.768909,04:53:45,12
1746568431.601516,04:53:51,29
1746568435.831648,04:53:55,11
1746568440.81566,04:54:00,49
1746568445.803209,04:54:05,13
1746568450.804661,04:54:10,38
1746568455.796614,04:54:15,7
1746568461.617156,04:54:21,4
1746568467.389695,04:54:27,0
1746568472.274173,04:54:32,13
1746568472.27622,04:54:32,34
1746568475.853208,04:54:35,11
1746568476.317203,04:54:36,3
1746568480.891863,04:54:40,5
1746568482.30234,04:54:42,32
1746568487.088328,04:54:47,2
1746568487.090011,04:54:47,0
1746568491.173859,04:54:51,5
1746568493.605729,04:54:53,3
1746568496.419485,04:54:56,13
1746568496.421005,04:54:56,13
1746568500.996162,04:55:00,3
1746568501.719297,04:55:01,16
1746568505.870945,04:55:05,8
1746568506.227252,04:55:06,6
1746568511.044923,04:55:11,3
1746568511.465465,04:55:11,21
1746568515.846463,04:55:15,6
1746568516.266953,04:55:16,2
1746568521.155485,04:55:21,0
1746568521.876293,04:55:21,11
1746568525.913336,04:55:25,8
1746568526.433139,04:55:26,0
1746568530.879424,04:55:30,1
1746568531.258532,04:55:31,2
1746568535.865928,04:55:35,8
1746568536.330693,04:55:36,3
1746568540.848847,04:55:40,0
1746568541.338999,04:55:41,0
1746568545.977209,04:55:45,7
1746568546.342763,04:55:46,5
1746568551.083126,04:55:51,2
1746568551.723326,04:55:51,10
1746568555.931052,04:55:55,6
1746568556.360653,04:55:56,2
1746568560.868604,04:56:00,0
1746568561.272329,04:56:01,16
1746568565.966256,04:56:05,3
1746568566.321671,04:56:06,0
1746568570.881348,04:56:10,2
1746568571.300597,04:56:11,2
1746568575.947366,04:56:15,7
1746568576.366708,04:56:16,1
1746568581.145248,04:56:21,0
1746568582.127918,04:56:22,7
1746568586.174133,04:56:26,14
1746568587.143476,04:56:27,3
1746568590.865389,04:56:30,1
1746568591.295008,04:56:31,14
1746568595.975151,04:56:35,3
1746568596.287721,04:56:36,1
1746568600.865828,04:56:40,5
1746568601.298238,04:56:41,13
1746568605.85635,04:56:45,5
1746568606.387352,04:56:46,0
1746568610.939058,04:56:50,1
1746568611.418449,04:56:51,1
1746568615.980865,04:56:55,10
1746568616.416178,04:56:56,4
1746568620.937127,04:57:00,4
1746568621.639463,04:57:01,17
1746568625.977596,04:57:05,12
1746568626.769252,04:57:06,2
1746568631.271374,04:57:11,0
1746568632.367985,04:57:12,7
1746568636.228538,04:57:16,19
1746568637.320179,04:57:17,7
1746568641.606013,04:57:21,5
1746568641.60761,04:57:21,4
1746568646.429053,04:57:26,1
1746568646.430996,04:57:26,2
1746568651.975913,04:57:31,5
1746568651.978855,04:57:31,8
1746568656.856055,04:57:36,4
1746568656.857326,04:57:36,19
1746568660.957301,04:57:40,6
1746568663.334815,04:57:43,3
1746568684.658095,04:58:04,5
1746568689.875808,04:58:09,6
1746568694.850906,04:58:14,7
1746568699.621989,04:58:19,11
1746568704.650975,04:58:24,32
1746568709.595495,04:58:29,1
1746568714.610549,04:58:34,33
1746568719.604382,04:58:39,9
1746568724.62282,04:58:44,24
1746568729.613869,04:58:49,9
1746568734.655068,04:58:54,33
1746568739.657529,04:58:59,9
1746568744.625212,04:59:04,15
1746568749.632339,04:59:09,1
1746568754.715323,04:59:14,0
1746568759.672629,04:59:19,3
1746568764.620707,04:59:24,23
1746568769.619274,04:59:29,2
1746568774.647463,04:59:34,22
1746568779.631353,04:59:39,3
1746568784.621442,04:59:44,21
1746568789.623949,04:59:49,13
1746568794.669756,04:59:54,15
1746568799.615496,04:59:59,12
1746568805.370035,05:00:05,2
1746568809.320468,05:00:09,11
1746568810.640093,05:00:10,7
1746568812.514514,05:00:12,7
1746568814.6408,05:00:14,3
1746568817.500451,05:00:17,4
1746568819.726942,05:00:19,22
1746568822.657415,05:00:22,3
1746568825.815071,05:00:25,4
1746568828.30282,05:00:28,10
1746568830.207894,05:00:30,3
1746568832.465177,05:00:32,7
1746568834.629697,05:00:34,14
1746568837.521637,05:00:37,5
1746568839.784411,05:00:39,28
1746568842.506024,05:00:42,14
1746568844.705604,05:00:44,16
1746568847.417898,05:00:47,8
1746568849.631908,05:00:49,20
1746568852.78344,05:00:52,14
1746568854.940903,05:00:54,6
1746568857.468243,05:00:57,2
1746568859.713509,05:00:59,9
1746568862.438994,05:01:02,5
1746568864.624085,05:01:04,7
1746568867.494602,05:01:07,2
1746568869.768381,05:01:09,30
1746568872.433952,05:01:12,14
